County #,County,year,per_capita_residential_taxes
18,Beaverhead,2002,389.50470253260113
22,Big Horn,2002,112.39441174034454
24,Blaine,2002,144.73935569463737
43,Broadwater,2002,253.60065497744523
10,Carbon,2002,514.354932058267
42,Carter,2002,165.51001374753596
2,Cascade,2002,345.31315868711783
19,Chouteau,2002,271.55204861159876
14,Custer,2002,285.6299094609037
37,Daniels,2002,287.4461440407949
16,Dawson,2002,277.07273571866835
30,Deer Lodge,2002,320.1372790623509
39,Fallon,2002,132.02810648880734
8,Fergus,2002,345.4285700929196
7,Flathead,2002,563.1230970898264
6,Gallatin,2002,505.87590367835287
50,Garfield,2002,262.1305118823529
38,Glacier,2002,144.6446945179757
53,Golden Valley,2002,198.85833984881415
46,Granite,2002,459.7122471531346
12,Hill,2002,274.15503457091506
51,Jefferson,2002,363.4690181847557
36,Judith Basin,2002,266.71938730543195
15,Lake,2002,523.2776588161404
5,Lewis & Clark,2002,455.05308256668627
48,Liberty,2002,302.8708763260261
56,Lincoln,2002,320.95826545021146
25,Madison,2002,2840.81551452954
41,McCone,2002,66.87307375054074
47,Meagher,2002,372.32202715567286
54,Mineral,2002,340.4750539171226
4,Missoula,2002,494.4306217671567
23,Musselshell,2002,270.4937206248564
49,Park,2002,459.9326355630259
55,Petroleum,2002,264.92709837944665
11,Phillips,2002,203.26862171617603
26,Pondera,2002,285.3360931939539
9,Powder River,2002,237.57709505779718
28,Powell,2002,252.03631076753481
45,Prairie,2002,210.06307815856778
13,Ravalli,2002,420.2220419761447
27,Richland,2002,243.9451382778376
17,Roosevelt,2002,107.09703869650598
29,Rosebud,2002,94.88132811494123
35,Sanders,2002,294.80646036403596
34,Sheridan,2002,275.2806712572551
1,Silver Bow,2002,333.9525234307885
32,Stillwater,2002,330.53400583556436
40,Sweet Grass,2002,414.45763171025726
31,Teton,2002,333.1532875421572
21,Toole,2002,283.589683841821
33,Treasure,2002,188.74734968474147
20,Valley,2002,241.87558313977647
44,Wheatland,2002,220.4759867943457
52,Wibaux,2002,192.67816059922177
3,Yellowstone,2002,379.6630026865662
18,Beaverhead,2003,397.5345407463022
22,Big Horn,2003,106.77201494388237
24,Blaine,2003,160.76731340110464
43,Broadwater,2003,298.3152572490136
10,Carbon,2003,576.8195400707909
42,Carter,2003,184.90559086821708
2,Cascade,2003,359.50974349239635
19,Chouteau,2003,299.93259063203465
14,Custer,2003,305.1194040793845
37,Daniels,2003,311.10285841041997
16,Dawson,2003,287.96500705174765
30,Deer Lodge,2003,367.6322649341604
39,Fallon,2003,131.5492117948718
8,Fergus,2003,356.90839474362303
7,Flathead,2003,597.3285087808092
6,Gallatin,2003,529.2157965681037
50,Garfield,2003,270.54023994417867
38,Glacier,2003,147.07879374772176
53,Golden Valley,2003,212.0814684464832
46,Granite,2003,489.31758825656783
12,Hill,2003,285.8340951563673
51,Jefferson,2003,406.2640534057689
36,Judith Basin,2003,271.4862833530213
15,Lake,2003,551.9362575771656
5,Lewis & Clark,2003,477.8357532824374
48,Liberty,2003,364.8690680063291
56,Lincoln,2003,345.6459577634273
25,Madison,2003,3516.810899410128
41,McCone,2003,71.78848213664055
47,Meagher,2003,406.14114729743864
54,Mineral,2003,356.8127626753048
4,Missoula,2003,512.8299859586301
23,Musselshell,2003,309.81084042880076
49,Park,2003,512.5246125078834
55,Petroleum,2003,285.9821015810276
11,Phillips,2003,233.5139505281445
26,Pondera,2003,300.25316618481054
9,Powder River,2003,250.7409724823081
28,Powell,2003,269.7821062643261
45,Prairie,2003,206.39255862157535
13,Ravalli,2003,449.6208319635449
27,Richland,2003,243.05930742142468
17,Roosevelt,2003,112.41523693058778
29,Rosebud,2003,98.47889800217156
35,Sanders,2003,345.81388522474896
34,Sheridan,2003,283.5845365674872
1,Silver Bow,2003,306.2363473991755
32,Stillwater,2003,378.07960730682765
40,Sweet Grass,2003,460.8034888808131
31,Teton,2003,340.4712292096928
21,Toole,2003,298.69798688254093
33,Treasure,2003,200.32206971938774
20,Valley,2003,234.1140799865356
44,Wheatland,2003,240.5349357156265
52,Wibaux,2003,192.4507848235294
3,Yellowstone,2003,403.55535088636293
18,Beaverhead,2004,424.26707605779524
22,Big Horn,2004,105.61431124477625
24,Blaine,2004,169.1800929808248
43,Broadwater,2004,310.4654004415199
10,Carbon,2004,603.4922485527501
42,Carter,2004,180.25724537383178
2,Cascade,2004,384.9141170110228
19,Chouteau,2004,307.7880619305289
14,Custer,2004,357.8822952606429
37,Daniels,2004,354.20178079822614
16,Dawson,2004,321.4472371953576
30,Deer Lodge,2004,390.1783132748762
39,Fallon,2004,135.98714413631447
8,Fergus,2004,378.33342220153946
7,Flathead,2004,653.9394822622374
6,Gallatin,2004,568.9946362514582
50,Garfield,2004,275.01080583333334
38,Glacier,2004,128.44491458096803
53,Golden Valley,2004,232.60312270387504
46,Granite,2004,534.9835493883792
12,Hill,2004,303.44439120085275
51,Jefferson,2004,424.3766341575492
36,Judith Basin,2004,312.1730325364299
15,Lake,2004,582.6479290007961
5,Lewis & Clark,2004,506.9224366807944
48,Liberty,2004,332.53118748563855
56,Lincoln,2004,375.9756350313306
25,Madison,2004,4465.877652397528
41,McCone,2004,72.41560312758966
47,Meagher,2004,419.0828730077519
54,Mineral,2004,402.23947043914677
4,Missoula,2004,568.58059920427
23,Musselshell,2004,316.5666301540292
49,Park,2004,546.6078651388946
55,Petroleum,2004,292.0881331213873
11,Phillips,2004,243.9032845611176
26,Pondera,2004,308.44278270195446
9,Powder River,2004,282.1057771847362
28,Powell,2004,272.82448846041916
45,Prairie,2004,231.20573535993066
13,Ravalli,2004,504.4171957836547
27,Richland,2004,226.43245712510995
17,Roosevelt,2004,108.60425737175997
29,Rosebud,2004,102.2355075831874
35,Sanders,2004,346.71038859421753
34,Sheridan,2004,307.4700826310073
1,Silver Bow,2004,367.045271827488
32,Stillwater,2004,419.483341900415
40,Sweet Grass,2004,464.14169436479875
31,Teton,2004,356.18798289740704
21,Toole,2004,283.7707367508384
33,Treasure,2004,195.66638324155193
20,Valley,2004,239.27987171283021
44,Wheatland,2004,246.14023812115477
52,Wibaux,2004,187.23185475418637
3,Yellowstone,2004,424.8167605644884
18,Beaverhead,2005,429.50434707794267
22,Big Horn,2005,107.651769311382
24,Blaine,2005,175.01522811331915
43,Broadwater,2005,323.4274500544503
10,Carbon,2005,641.2080047827841
42,Carter,2005,201.57913980127182
2,Cascade,2005,381.1923956523533
19,Chouteau,2005,320.00909328836724
14,Custer,2005,365.69963151886543
37,Daniels,2005,372.8928841863075
16,Dawson,2005,321.1807179613637
30,Deer Lodge,2005,401.31121320034504
39,Fallon,2005,147.50334424410028
8,Fergus,2005,400.2194634830479
7,Flathead,2005,724.8467286202833
6,Gallatin,2005,612.0703620412156
50,Garfield,2005,262.3345535108152
38,Glacier,2005,182.3889810577503
53,Golden Valley,2005,258.15747976331363
46,Granite,2005,641.3142006148222
12,Hill,2005,308.0452071650913
51,Jefferson,2005,457.320697719675
36,Judith Basin,2005,310.1995915085609
15,Lake,2005,619.2586303303001
5,Lewis & Clark,2005,534.2081166640468
48,Liberty,2005,322.8536175419241
56,Lincoln,2005,398.06877657977077
25,Madison,2005,5221.05341350394
41,McCone,2005,71.50405495492997
47,Meagher,2005,451.9019979936808
54,Mineral,2005,456.55028584321315
4,Missoula,2005,596.8394393290197
23,Musselshell,2005,338.0582588642147
49,Park,2005,560.50150257854
55,Petroleum,2005,288.80648928861785
11,Phillips,2005,246.7132242975402
26,Pondera,2005,309.56439710962917
9,Powder River,2005,295.0903490856814
28,Powell,2005,290.1603668700872
45,Prairie,2005,244.43825743169396
13,Ravalli,2005,524.9154424959755
27,Richland,2005,212.8186352894537
17,Roosevelt,2005,118.85551199674235
29,Rosebud,2005,98.53258845033402
35,Sanders,2005,359.59862423795676
34,Sheridan,2005,299.55711709487827
1,Silver Bow,2005,356.86602866552937
32,Stillwater,2005,454.5128089164014
40,Sweet Grass,2005,539.4279067349661
31,Teton,2005,375.3677851826372
21,Toole,2005,283.0805460233918
33,Treasure,2005,221.5818441906005
20,Valley,2005,244.50345992941496
44,Wheatland,2005,246.37327406999043
52,Wibaux,2005,176.46741047236182
3,Yellowstone,2005,452.13336793646397
18,Beaverhead,2006,447.09699452230353
22,Big Horn,2006,105.22166056682615
24,Blaine,2006,180.8581954854651
43,Broadwater,2006,346.6176545381202
10,Carbon,2006,654.9229664552239
42,Carter,2006,208.11429507660964
2,Cascade,2006,395.7118263962792
19,Chouteau,2006,313.3872597302505
14,Custer,2006,372.6730027985959
37,Daniels,2006,402.57463430778034
16,Dawson,2006,335.5281474291201
30,Deer Lodge,2006,428.71986932570815
39,Fallon,2006,152.34772188464362
8,Fergus,2006,427.6236605529953
7,Flathead,2006,756.0706111555522
6,Gallatin,2006,636.6075879403224
50,Garfield,2006,270.779766431468
38,Glacier,2006,141.13242151320753
53,Golden Valley,2006,290.17680924974314
46,Granite,2006,701.8479499103884
12,Hill,2006,309.8304864670547
51,Jefferson,2006,468.39826292472935
36,Judith Basin,2006,330.4941952003728
15,Lake,2006,671.1872506973448
5,Lewis & Clark,2006,544.7812679865945
48,Liberty,2006,335.107656101083
56,Lincoln,2006,415.205516222176
25,Madison,2006,6190.075887232295
41,McCone,2006,73.07351310908348
47,Meagher,2006,496.44280347893925
54,Mineral,2006,498.48294268724766
