County #,County,City Code,City,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_percent,non_res_taxes,non_res_taxes_per_capita
54,Mineral,ALB-54,Alberton,2002,169691.80788000004,102830.4298,457.3903177358492,277.17096981132073,0.6059834654641548,66861.37808000004,180.21934792452845
30,Deer Lodge,ANA-30,Anaconda,2002,2391262.95968,1638064.5324,258.85072090062783,177.31809183806018,0.685020660638346,753198.42728,81.53262906256765
17,Roosevelt,BAN-17,Bainville,2002,48772.269442,19935.188312000002,299.2163769447853,122.30176878527608,0.4087402234933303,28837.081129999995,176.9146081595092
39,Fallon,BAK-39,Baker,2002,472648.4504279999,234872.70867200004,288.20027465121944,143.21506626341466,0.4969289721764971,237775.74175599986,144.9852083878048
10,Carbon,BER-10,Bearcreek,2002,36479.93845800001,29104.891509000005,434.2849816428573,346.4868036785715,0.7978328017880012,7375.046949000007,87.7981779642858
6,Gallatin,BEL-06,Belgrade,2002,3546302.8373059994,2155395.76839,583.3694418993255,354.56419943905246,0.60778671965516,1390907.0689159995,228.805242460273
2,Cascade,BLT-02,Belt ,2002,272553.26569599996,167753.23235200002,428.5428705911949,263.76294394968556,0.615487882427754,104800.03334399994,164.77992664150935
19,Chouteau,BGS-19,Big Sandy,2002,233626.828072,134610.30356400003,347.14238940861816,200.0153099019317,0.5761765661712246,99016.52450799997,147.12707950668647
40,Sweet Grass,BIG-40,Big Timber,2002,1263607.2394848005,562819.974444,763.0478499304351,339.867134326087,0.4454073677778814,700787.2650408004,423.18071560434805
3,Yellowstone,BIL-03,Billings,2002,62108765.20462001,34736370.41183,663.6686314393487,371.178517821743,0.5592829014936865,27372394.79279001,292.4901136176057
51,Jefferson,BLD-51,Boulder,2002,454782.00481500005,286760.37062199996,354.4676576890102,223.50769339204984,0.6305446732410854,168021.6341930001,130.95996429696035
6,Gallatin,BOZ-06,Bozeman,2002,24948112.173784003,11537358.062767997,840.2018042563568,388.5548130120903,0.46245415213787977,13410754.111016005,451.64699124426653
10,Carbon,BRD-10,Bridger,2002,307458.42325299996,178909.48448999994,396.72054613290317,230.85094772903219,0.5818981395828591,128548.93876300001,165.86959840387098
9,Powder River,BRO-09,Broadus,2002,180091.56871199995,97405.25506800001,351.05568949707595,189.87379155555558,0.5408651596775705,82686.31364399994,161.18189794152036
3,Yellowstone,BRD-03,Broadview,2002,82741.031,33261.53376,520.3838427672956,209.1920362264151,0.40199564059094206,49479.497240000004,311.1918065408805
17,Roosevelt,BRC-17,Brockton,2002,21436.840812000006,2469.0472200000004,86.7888291983806,9.996142591093118,0.11517775597875722,18967.793592000005,76.79268660728748
38,Glacier,BRW-38,Browning ,2002,275088.760584,78732.416566,275.916510114343,78.96932453961885,0.28620731868090477,196356.34401799997,196.94718557472413
2,Cascade,CAS-02,Cascade,2002,349255.3776180001,230514.43366100005,461.97801272222233,304.9132720383599,0.6600168485111385,118740.94395700004,157.06474068386245
48,Liberty,CHE-48,Chester,2002,347576.98941599997,208133.43527500003,412.3095959857651,246.8961272538553,0.5988124692164074,139443.55414099994,165.4134687319098
24,Blaine,CHK-24,Chinook,2002,622057.1115779998,340277.333487,467.7121139684209,255.8476191631579,0.547019441066759,281779.77809099975,211.864494805263
31,Teton,CHT-31,Choteau,2002,744094.1730079998,469975.13971399993,425.6831653363843,268.86449640389014,0.6316070690543456,274119.03329399985,156.81866893249418
41,McCone,CIR-41,Circle,2002,361674.54192499997,145969.72867500002,610.9367262246622,246.57048762668921,0.403594148203192,215704.81324999995,364.36623859797294
49,Park,CLP-49,Clyde Park,2002,145931.350635,102837.952791,481.6216192574258,339.3991841287129,0.7047008908196555,43093.39784400001,142.2224351287129
29,Rosebud,COL-29,Colstrip,2002,14596283.060459996,199552.801095,6415.948598004394,87.71551696483516,0.013671480627528416,14396730.259364996,6328.233081039559
7,Flathead,CFT-07,Columbia Falls,2002,2344779.665982,1148467.57389,568.8451397336245,278.619013558952,0.4897976515883077,1196312.092092,290.22612617467246
32,Stillwater,COL-32,Columbus,2002,3082518.9862439996,539275.58042,1687.2025102594414,295.1699947564313,0.17494639378591428,2543243.4058239996,1392.03251550301
26,Pondera,CON-26,Conrad,2002,928249.7231519998,492702.15004800004,346.7499899708628,184.05011208367577,0.5307862073741989,435547.5731039997,162.69987788718706
17,Roosevelt,CUL-17,Culbertson,2002,221994.27883999998,128103.111536,315.78133547652914,182.22348724893314,0.5770559142577226,93891.16730399999,133.557848227596
38,Glacier,CUT-38,Cut Bank,2002,1513655.1987430006,854311.2215830002,502.875481309967,283.82432610730905,0.5644027928503493,659343.9771600005,219.05115520265792
13,Ravalli,DRB-13,Darby,2002,305850.21130799997,151288.30056500004,423.6152511191135,209.54058250000006,0.4946483440962817,154561.91074299993,214.07466861911345
28,Powell,DER-28,Deer Lodge,2002,1324831.615968,781348.110368,403.0519062878004,237.70858240584118,0.5897716365993433,543483.5055999999,165.34332388195924
8,Fergus,DET-08,Denton,2002,118182.95417299998,63686.347719,419.0884899751772,225.8381124787234,0.5388793008657906,54496.60645399998,193.2503774964538
18,Beaverhead,DIL-18,Dillon,2002,2313208.3654260016,1118637.5797320004,557.9373770926197,269.81128309985536,0.4835870371435353,1194570.7856940012,288.12609399276437
11,Phillips,DOD-11,Dodson,2002,26373.383711,8622.504330000002,217.96184885123967,71.26036636363638,0.32693963067028314,17750.879381,146.7014824876033
46,Granite,DRM-46,Drummond,2002,193916.97657,59737.15333,596.6676202153847,183.80662563076925,0.3080553048352429,134179.82324,412.8609945846154
31,Teton,DTT-31,Dutton,2002,158897.117996,85310.43246800001,431.7856467282608,231.82182735869569,0.5368909993077885,73586.68552799997,199.96381936956513
5,Lewis & Clark,EHN-05,East Helena,2002,1530683.73336,627115.27752,901.4627404946996,369.3258407067138,0.4096961794605479,903568.45584,532.1368997879858
42,Carter,EKA-42,Ekalaka,2002,115601.85184799995,67936.655983,298.7127954728681,175.54691468475454,0.58767792121814,47665.19586499994,123.16588078811355
25,Madison,ENN-25,Ennis,2002,608900.6399249999,298334.30662499985,717.1974557420493,351.39494302120124,0.489955646395357,310566.33330000006,365.8025127208481
56,Lincoln,EUR-56,Eureka,2002,416536.5539280001,239235.48235599996,416.5365539280001,239.23548235599998,0.5743445085430671,177301.07157200013,177.30107157200013
31,Teton,FRF-31,Fairfield,2002,655583.494132,254931.541736,927.2750977821782,360.5820958076379,0.38886205039913685,400651.95239600004,566.6930019745403
27,Richland,FAR-27,Fairview ,2002,200208.00980399997,115893.51640799998,283.17964611598296,163.92293692786419,0.578865533509162,84314.49339599999,119.25670918811878
37,Daniels,FLX-37,Flaxville,2002,18289.208363999995,10163.232972,223.03912639024384,123.94186551219512,0.5556956195001335,8125.975391999995,99.09726087804871
29,Rosebud,FOR-29,Forsyth,2002,768322.8068250001,389470.8570000001,412.854812909726,209.28041751746377,0.5069104464169698,378851.949825,203.5743953922622
19,Chouteau,FOR-19,Fort Benton,2002,652101.7061519996,495280.5801839999,421.526636168067,320.15551401680665,0.7595143142725561,156821.12596799975,101.37112215126035
20,Valley,FOR-20,Fort Peck,2002,88568.86977599998,71921.77357199999,376.88880755744674,306.05010030638294,0.8120434838323866,16647.096203999987,70.8387072510638
17,Roosevelt,FRO-17,Froid,2002,59191.14920399999,30452.634498000003,313.18068361904756,161.12505025396828,0.5144795278943848,28738.514705999984,152.05563336507927
10,Carbon,FRM-10,Fromberg,2002,155153.49737399994,113918.08934499997,326.63894183999986,239.8275565157894,0.7342283046987889,41235.40802899997,86.81138532421045
19,Chouteau,GER-19,Geraldine,2002,99487.196096,43079.846224,368.47109665185184,159.55498601481483,0.43301900058003623,56407.349872,208.916110637037
20,Valley,GLA-20,Glasgow,2002,1650865.3858840002,807825.1368880001,513.1692215990054,251.11132635623252,0.48933434778840457,843040.2489960002,262.0578952427728
16,Dawson,GLD-16,Glendive,2002,3241038.7069580005,1368136.487562,679.0359746402683,286.64078934883725,0.4221290182757849,1872902.2193960005,392.395185291431
8,Fergus,GRS-08,Grass Range,2002,38898.062333999995,24863.72324,279.8421750647482,178.8757067625899,0.6392021028324367,14034.339093999995,100.96646830215826
2,Cascade,GTF-02,Great Falls,2002,36497362.20602597,19400460.236025,638.5904887936937,339.4478021455567,0.5315578733200025,17096901.97000097,299.142686648137
13,Ravalli,HAM-13,Hamilton,2002,3033139.957812,1151040.6474900004,751.707548404461,285.26410098884764,0.37948814215626253,1882099.3103219997,466.4434474156134
22,Big Horn,HAR-22,Hardin,2002,1294934.408971,672955.6254749999,374.0422902862507,194.38348511698436,0.519683175312141,621978.7834960001,179.65880516926634
24,Blaine,HRL-24,Harlem,2002,372989.29097600013,158954.05449900002,447.22936567865725,190.59239148561153,0.4261625155056472,214035.23647700011,256.6369741930457
44,Wheatland,HAR-44,Harlowton,2002,400108.322124,229892.742324,385.4608112947977,221.4766303699422,0.5745762575084667,170215.5798,163.98418092485548
12,Hill,HVR-12,Havre,2002,4705337.859191999,2797274.5738320006,504.59387229941007,299.9758256120108,0.5944896323156588,1908063.2853599982,204.61804668739927
5,Lewis & Clark,HLN-05,Helena,2002,28922368.609680016,11948085.573839998,1110.135823501325,458.60690031243996,0.4131088202036502,16974283.03584002,651.528923188885
12,Hill,HIN-12,Hingham,2002,70904.757352,39530.398206,492.3941482777778,274.5166542083333,0.5575140467621242,31374.359146000003,217.87749406944448
36,Judith Basin,HOB-36,Hobson,2002,71050.241008,47246.374184,307.5768009004329,204.52975837229437,0.6649713430061445,23803.866823999997,103.04704252813852
35,Sanders,HOT-35,Hot Springs,2002,217664.2348479999,132672.76656,391.48243677697826,238.62008374100716,0.6095294739287257,84991.46828799992,152.8623530359711
33,Treasure,HYS-33,Hysham,2002,105876.71189999998,62575.692209999994,338.26425527156545,199.92233932907345,0.5910241363474001,43301.01968999999,138.341915942492
14,Custer,ISM-14,Ismay,2002,14303.859299999996,3983.6558999999997,595.9941374999999,165.9856625,0.2785021731862254,10320.203399999997,430.00847499999986
10,Carbon,JOL-10,Joliet,2002,248961.997487,176428.54400900003,424.1260604548552,300.55970018569,0.7086565250514291,72533.45347799995,123.56636026916516
50,Garfield,JOR-50,Jordan,2002,130002.85237,70885.938244,357.1506933241758,194.7415885824176,0.5452644842149474,59116.91412599999,162.4091047417582
44,Wheatland,JUG-44,Judith Gap,2002,45744.32204800001,18290.078672,295.1246583741936,118.00050756129032,0.3998327629122588,27454.24337600001,177.12415081290328
7,Flathead,KOT-07,Kalispell,2002,15318839.599979999,7034807.48776,960.7902408416959,441.21973706472653,0.45922587294204614,8284032.112219999,519.5705037769694
21,Toole,KEV-21,Kevin,2002,35604.37248500001,18874.56406,210.67676026627223,111.68381100591716,0.530119273073884,16729.808425000007,98.99294926035506
3,Yellowstone,LAU-03,Laurel,2002,3292138.8517500004,1980845.1453,520.41398225577,313.1275917325324,0.6016894288183025,1311293.7064500004,207.28639052323757
53,Golden Valley,LAV-53,Lavina,2002,58763.65601800001,27104.541247000005,288.0571373431373,132.86539826960788,0.4612466800686731,31659.114771000004,155.19173907352942
8,Fergus,LEW-08,Lewistown,2002,3434278.2265609982,2074526.196489,541.6842628645107,327.21233383107256,0.6040646853957373,1359752.0300719982,214.4719290334382
56,Lincoln,LIB-56,Libby,2002,1227535.9609560003,566081.6551960001,435.29644005531924,200.73817560141848,0.46115280790237534,661454.3057600001,234.55826445390076
18,Beaverhead,LIM-18,Lima,2002,112336.331816,78818.61327499998,484.2083267931035,339.7354020474137,0.701630647902052,33517.718541000024,144.4729247456898
49,Park,LVM-49,Livingston,2002,4625103.8750399975,2420422.9240949997,650.8730474303402,340.6167920201238,0.523322932736093,2204680.950944998,310.2562554102164
22,Big Horn,LOG-22,Lodge Grass,2002,50934.109941999995,24817.36711,97.20249988931297,47.36138761450381,0.4872445427682978,26116.742831999996,49.84111227480916
11,Phillips,MAL-11,Malta,2002,929354.976713,492139.08256300003,456.0132368562316,241.48139478066733,0.5295490903848472,437215.89414999995,214.53184207556424
6,Gallatin,MAN-06,Manhattan,2002,888875.9320700001,653573.1424740001,617.2749528263889,453.87023782916674,0.7352805030415993,235302.789596,163.4047149972222
34,Sheridan,MED-34,Medicine Lake,2002,84622.43671700002,49538.80782499999,325.4709104500001,190.53387624999996,0.585409848107671,35083.62889200003,134.9370342000001
23,Musselshell,MEL-23,Melstone,2002,58984.139486000015,30296.805032000004,479.5458494796749,246.31548806504068,0.5136432487786144,28687.33445400001,233.23036141463425
14,Custer,MIC-14,Miles City,2002,4443549.0598949995,2512678.4958100007,530.5730220770149,300.0213129325374,0.5654665813162812,1930870.5640849988,230.5517091444775
4,Missoula,MSS-04,Missoula,2002,57653615.639308006,28159334.82476399,964.8656241411813,471.26227678550015,0.48842270363291956,29494280.814544015,493.6033473556812
8,Fergus,MOO-08,Moore,2002,74686.03619400001,33986.752464,410.3628362307693,186.74039815384614,0.45506167144441867,40699.28373000002,223.62243807692315
20,Valley,NAS-20,Nashua,2002,121151.01224,66834.954692,388.3045264102564,214.21459837179486,0.5516664983335017,54316.057548,174.08992803846155
2,Cascade,NEI-02,Neihart,2002,128645.440685,95898.224923,1588.2153170987654,1183.9287027530863,0.7454459669333753,32747.215761999993,404.286614345679
20,Valley,OPH-20,Opheim,2002,37326.757952,20411.160703999998,369.5718609108911,202.09070003960395,0.5468238289070683,16915.597248000002,167.48116087128713
34,Sheridan,OUT-34,Outlook,2002,26063.443809,14726.897444999999,361.992275125,204.54024229166666,0.5650403512645031,11336.546364000002,157.45203283333333
46,Granite,PHI-46,Phillipsburg,2002,406771.02024,248718.51576,452.4705453170189,276.6613078531702,0.6114460061910334,158052.50447999997,175.80923746384872
13,Ravalli,PIN-13,Pinesdale,2002,97348.24874099997,93033.68247599999,124.16868461862242,118.66541132142855,0.9556790561638236,4314.566264999987,5.503273297193871
35,Sanders,PLS-35,Plains,2002,507482.66832400014,231916.79064799997,441.67334057789395,201.842289510879,0.45699450468707176,275565.8776760002,239.83105106701495
34,Sheridan,PLW-34,Plentywood,2002,975406.6568289999,588968.2162990001,504.08612756020665,304.37633917260985,0.6038181226009954,386438.4405299998,199.7097883875968
39,Fallon,PLV-39,Plevna,2002,23536.004148,10253.030904,174.34077146666667,75.94837706666667,0.4356317597297527,13282.973244,98.3923944
15,Lake,POL-15,Polson,2002,2736201.277058999,1588524.542382,638.7024456253499,370.80404817507,0.5805583659727777,1147676.734676999,267.8983974502799
17,Roosevelt,POP-17,Poplar,2002,244254.80402399998,82347.82253599998,283.68734497560973,95.64207030894306,0.33713900885203735,161906.98148800002,188.04527466666667
10,Carbon,RED-10,Red Lodge,2002,2199828.0331079997,1315764.323704,1001.7431844754097,599.1640818324227,0.5981214458136707,884063.7094039996,402.5791026429871
,,,Rexford,2002,,,0.0,0.0,,,0.0
16,Dawson,RIC-16,Richey,2002,76848.97912999999,34453.594098,419.9397766666666,188.271006,0.44832858533770875,42395.38503199999,231.6687706666666
15,Lake,RNN-15,Ronan,2002,809065.7208899998,393956.48999699997,437.0965536952997,212.83440842625606,0.4869276745078687,415109.2308929998,224.26214526904363
23,Musselshell,RND-23,Roundup,2002,874080.7392709999,461077.7235479999,475.3021964497009,250.72198126590533,0.5275001528263253,413003.015723,224.58021518379556
53,Golden Valley,RYE-53,Ryegate,2002,53742.847066999995,34876.892253,205.91129144444443,133.62793966666666,0.6489587760305993,18865.954813999997,72.28335177777777
11,Phillips,SAC-11,Saco,2002,75226.39551900001,18762.787454000005,361.66536307211544,90.20570891346156,0.24941760567620266,56463.60806500001,271.45965415865385
37,Daniels,SCB-37,Scobey,2002,472416.64615600015,303893.192512,453.810418977906,291.9242963611911,0.6432736758637612,168523.45364400017,161.88612261671489
21,Toole,SHL-21,Shelby,2002,2001162.5813379993,812058.754071,626.5380655410141,254.24507015372575,0.4057934930644409,1189103.8272669993,372.2929953872884
25,Madison,SHR-25,Sheridan,2002,408435.21589,274151.146555,637.1844241653666,427.69289634165364,0.6712230872590441,134284.069335,209.491527823713
27,Richland,SID-27,Sidney,2002,2106648.49098,1188019.823298,426.61978351154306,240.5872465164034,0.5639383259166035,918628.6676819997,186.03253699513965
15,Lake,SAI-15,St. Ignatius,2002,219928.08032700006,146262.138453,276.63909475094346,183.97753264528302,0.6650453104284371,73665.94187400007,92.66156210566044
36,Judith Basin,STN-36,Stanford,2002,142331.93358799996,88490.864176,324.9587524840182,202.03393647488585,0.6217217875515512,53841.06941199995,122.92481600913234
13,Ravalli,STE-13,Stevensville,2002,875801.299863,487968.96151500015,517.307324195511,288.22738423803906,0.5571685741860993,387832.3383479999,229.07993995747194
21,Toole,SUN-21,Sunburst,2002,133238.53470000005,76480.9164,334.7701876884423,192.16310653266333,0.5740149917754985,56757.618300000046,142.60708115577899
54,Mineral,SUP-54,Superior,2002,506796.14691000007,225655.67310000004,598.3425583353012,266.4175597402598,0.44525925162582847,281140.47381,331.9249985950414
45,Prairie,TER-45,Terry,2002,237342.68605000005,113673.83480000003,396.8941238294315,190.09002474916392,0.4789439130896699,123668.85125000002,206.8040990802676
35,Sanders,THF-35,Thompson Falls,2002,615280.649832,329825.119038,460.88438189662924,247.06001426067417,0.5360563819584728,285455.530794,213.82436763595507
6,Gallatin,THR-06,Three Forks,2002,801885.8344,547844.5143520001,456.6548031890661,311.98434758086563,0.6831951517910491,254041.32004799997,144.67045560820048
43,Broadwater,TWN-43,Townsend,2002,642971.6765069999,397696.122587,358.60104657389843,221.80486480033466,0.6185282137893214,245275.55391999986,136.79618177356377
56,Lincoln,TOY-56,Troy,2002,406372.257592,229341.00712600007,418.50901914727086,236.1905325705459,0.5643618697914652,177031.25046599994,182.31848657672495
25,Madison,TWB-25,Twin Bridges,2002,237927.54914999995,134539.68868500003,641.314148652291,362.64067030997313,0.5654649458023893,103387.86046499992,278.6734783423179
26,Pondera,VAL-26,Valier,2002,301804.4263499999,178892.60901600003,586.0280123300969,347.36428935145636,0.5927434901453031,122911.81733399988,238.66372297864052
25,Madison,VIC-25,Virginia City,2002,111644.58871499996,82279.63622999999,791.805593723404,583.543519361702,0.7369782734391079,29364.952484999973,208.26207436170193
1,Silver Bow,WAK-01,Walkerville,2002,207479.671778,174767.95145199998,306.46923453175776,258.15059298670604,0.8423377093009814,32711.72032600001,48.31864154505172
6,Gallatin,WYE-06,West Yellowstone,2002,1732526.0587960004,457643.0763840001,10564.183285341465,2790.5065633170734,0.2641478747523336,1274882.9824120004,7773.676722024392
34,Sheridan,WES-34,Westby,2002,71222.805708,41494.781568,60.51215438232795,35.25469971792693,0.5826052646412265,29728.02414,25.257454664401017
47,Meagher,WSS-47,White Sulphur,2002,428446.5556049998,248733.93321,443.5264550776396,257.48854369565214,0.5805483320055365,179712.62239499984,186.03791138198744
7,Flathead,WHT-07,Whitefish,2002,6627539.816,4658962.1495,1115.7474437710437,784.3370622053873,0.7029700731865057,1968577.6664999994,331.4103815656564
51,Jefferson,WHT-51,Whitehall,2002,416232.880719,229179.38298000002,402.9359929515973,221.8580667763795,0.5506037451537128,187053.49773899998,181.0779261752178
52,Wibaux,WIL-52,Wibaux,2002,170801.598884,75527.682496,305.548477431127,135.1121332665474,0.4421954067730634,95273.91638800001,170.43634416457962
8,Fergus,WIN-08,Winifred,2002,54244.36981599999,33981.988832999996,319.08452832941174,199.8940519588235,0.6264611230302582,20262.380982999995,119.19047637058824
55,Petroleum,WIN-55,Winnett,2002,53256.03936000001,36319.458280000006,281.7779860317461,192.16644592592596,0.6819782078514672,16936.581080000004,89.61154010582013
17,Roosevelt,WOP-17,Wolf Point,2002,872542.0420860002,414087.10667999997,332.27038921782184,157.68739782178216,0.47457553528313123,458454.93540600024,174.5829913960397
54,Mineral,ALB-54,Alberton,2003,189834.11927999998,113499.47769,496.94795623036646,297.1190515445026,0.5978876617147598,76334.64158999998,199.82890468586385
30,Deer Lodge,ANA-30,Anaconda,2003,2759371.5817499994,1884580.9394999999,300.29073694090755,205.0909717597127,0.6829746859626621,874790.6422499996,95.19976518119486
17,Roosevelt,BAN-17,Bainville,2003,49735.564320000005,20314.76656,296.04502571428577,120.92122952380953,0.4084555355458365,29420.797760000005,175.12379619047624
39,Fallon,BAK-39,Baker,2003,473342.81720000005,244742.65376,283.94890053989207,146.81622901019796,0.5170515847430502,228600.16344000006,137.1326715296941
10,Carbon,BER-10,Bearcreek,2003,43502.94909999999,35985.11085,524.1319168674697,433.5555524096385,0.8271878480532715,7517.838249999993,90.57636445783123
6,Gallatin,BEL-06,Belgrade,2003,3675838.3816499994,2210817.9801,584.765889540248,351.70505569519565,0.6014459153417987,1465020.4015499996,233.0608338450524
2,Cascade,BLT-02,Belt ,2003,271393.21692,175126.48956000002,432.1548040127388,278.8638368789809,0.6452869071212748,96266.72735999996,153.29096713375787
19,Chouteau,BGS-19,Big Sandy,2003,250426.9404,147514.08344000002,380.01053171471926,223.84534664643402,0.5890503761471504,102912.85695999998,156.16518506828524
40,Sweet Grass,BIG-40,Big Timber,2003,1047329.8347810002,608528.1256350001,638.2265903601464,370.8276207404022,0.581028158872458,438801.7091460001,267.39896961974415
3,Yellowstone,BIL-03,Billings,2003,72277812.25149998,39320246.95476,764.0199176708736,415.63864352508403,0.5440154555029989,32957565.29673998,348.3812741457896
51,Jefferson,BLD-51,Boulder,2003,456505.17776,307811.94522,361.44511303246236,243.7149209976247,0.674279198168979,148693.23254,117.73019203483767
6,Gallatin,BOZ-06,Bozeman,2003,27479659.585869998,12516179.066939998,891.8782118681639,406.2243700931485,0.45547067378432154,14963480.51893,485.65384177501545
10,Carbon,BRD-10,Bridger,2003,321974.1681,182700.011,420.8812654901961,238.82354379084967,0.5674368601621989,139274.1571,182.05772169934642
9,Powder River,BRO-09,Broadus,2003,183825.70254000003,104229.10767,359.73718696673194,203.97085649706457,0.566999642758444,79596.59487000003,155.76633046966737
