County #,County,year,total_taxes,residential_taxes,total_taxes_per_capita,residential_taxes_per_capita,res_per_income,fips,region,res_percent,non_res_taxes,non_res_taxes_per_capita
18,Beaverhead,2002,7991142.670419989,3512553.407438997,886.1324762053658,389.50470253260113,0.017072446377240636,30001,Mountains,0.4395558372948419,4478589.262980992,496.6277736727647
18,Beaverhead,2003,7937825.1267,3547598.2416200005,889.4918340094129,397.5345407463022,0.016346797045539374,30001,Mountains,0.44692320440357786,4390226.885079999,491.95729326311067
18,Beaverhead,2004,8405846.548816994,3779371.11352284,943.6289345326666,424.26707605779524,0.016468063258007034,30001,Mountains,0.4496121945093959,4626475.435294153,519.3618584748713
18,Beaverhead,2005,8631169.239292001,3824306.7063820013,969.3586297497756,429.50434707794267,0.015878375363844722,30001,Mountains,0.4430809546605185,4806862.5329100005,539.8542826718328
18,Beaverhead,2006,8974880.824045004,4029238.1146349995,995.8811389308704,447.09699452230353,0.016657522374641878,30001,Mountains,0.4489461413058642,4945642.709410004,548.7841444085668
18,Beaverhead,2007,9259347.428130006,4119543.8369199997,1025.625545871733,456.307469751883,0.015424266094008581,30001,Mountains,0.44490649788178127,5139803.591210007,569.31807611985
18,Beaverhead,2008,9609502.750702005,4398598.333016,1048.3856372138343,479.8819913829369,0.015597755806753143,30001,Mountains,0.45773422903642624,5210904.417686005,568.5036458308974
18,Beaverhead,2009,9919920.471570006,4489378.60506,1078.2522251706528,487.9759353326087,0.015990548972260217,30001,Mountains,0.45256195530259885,5430541.866510006,590.276289838044
18,Beaverhead,2010,9737694.389689997,4546030.3918,1052.1549853797944,491.1972330415992,0.015739303998504327,30001,Mountains,0.4668487436423567,5191663.9978899965,560.9577523381952
18,Beaverhead,2011,10545780.03465,4976035.37242,1145.160173162124,540.3448118601368,0.015859671501941012,30001,Mountains,0.47185085940256366,5569744.66223,604.8153613019872
18,Beaverhead,2012,10865690.401210004,5186834.181999998,1161.1124600566366,554.267384270143,0.01520624270959457,30001,Mountains,0.47735891512447215,5678856.219210006,606.8450757864936
18,Beaverhead,2013,11088477.877110004,5248266.568949998,1191.6687670188076,564.0264985437935,0.014763014925274468,30001,Mountains,0.47330811560566116,5840211.308160006,627.642268475014
18,Beaverhead,2014,10849274.073290015,5270715.568780007,1161.9657355992304,564.4977582499739,0.013704337389769181,30001,Mountains,0.485812740389337,5578558.504510008,597.4679773492564
18,Beaverhead,2015,11703523.911680005,5721191.429530002,1258.7141225725968,615.3141997773718,0.013778533155590349,30001,Mountains,0.4888434861760147,5982332.482150003,643.399922795225
18,Beaverhead,2016,12028106.56093453,5740648.366760002,1269.9933017563646,606.1290641706264,0.013906979998885636,30001,Mountains,0.47726949688031195,6287458.194174528,663.8642375857382
18,Beaverhead,2017,13335808.05345,6296621.952330002,1410.7487626626466,666.0977417042211,0.015471689929234334,30001,Mountains,0.472159011819389,7039186.101119998,744.6510209584255
18,Beaverhead,2018,13574593.462390011,6476966.570229999,1443.4914358134847,688.7459134655464,0.015420467807149112,30001,Mountains,0.4771388983526606,7097626.892160012,754.7455223479383
22,Big Horn,2002,7111792.084522002,1428870.1564550002,559.4110032661057,112.39441174034454,0.006593223250745209,30003,Plains,0.20091562569226,5682921.928067002,447.01659152576116
22,Big Horn,2003,6920913.036730004,1350879.5330699997,547.0212643637373,106.77201494388237,0.005495065930685214,30003,Plains,0.19518805190886546,5570033.503660004,440.2492494198549
22,Big Horn,2004,6897473.3419903945,1344575.7964572464,541.7856682106978,105.61431124477625,0.005163858471235517,30003,Plains,0.1949374401016886,5552897.545533149,436.17135696592163
22,Big Horn,2005,7222685.616010002,1360072.4534800001,571.6863713796107,107.651769311382,0.0048881269892179415,30003,Plains,0.18830564222056495,5862613.162530001,464.0346020682287
22,Big Horn,2006,7247784.088311998,1319479.6235079998,577.9732127840509,105.22166056682615,0.004947671328216223,30003,Plains,0.18205283262174346,5928304.464803998,472.7515522172248
22,Big Horn,2007,7525745.369055001,1253845.056095,599.7087711415253,99.91593402621722,0.00433737855774719,30003,Plains,0.1666074248606213,6271900.312960001,499.7928371153081
22,Big Horn,2008,8486506.068167597,1384075.3411651999,675.4621194020692,110.16199786415153,0.004512342544983063,30003,Plains,0.16309130401223515,7102430.727002397,565.3001215379177
22,Big Horn,2009,7685493.748939999,1270486.92214,602.9256883141131,99.66948475249077,0.004158931145788323,30003,Plains,0.1653097333291343,6415006.8268,503.2562035616223
22,Big Horn,2010,9497953.182199998,1502880.755655,735.4203005962058,116.36707360859465,0.0047039551904267075,30003,Plains,0.1582320660909901,7995072.426544998,619.0532269876112
22,Big Horn,2011,9477286.577820998,1487817.8449940004,725.6727854380549,113.92173391990815,0.004353883697842106,30003,Plains,0.15698774462258341,7989468.7328269975,611.7510515181468
22,Big Horn,2012,9785058.098879997,1552418.7369200005,752.6967768369228,119.41682591692312,0.004520953969532564,30003,Plains,0.1586519692813772,8232639.361959996,633.2799509199997
22,Big Horn,2013,10504212.970640004,1585406.1013599986,800.6870165896794,120.84809065934893,0.00471236970398442,30003,Plains,0.1509304986286281,8918806.869280005,679.8389259303304
22,Big Horn,2014,11977902.752523998,1745354.4806359995,897.6918798264256,130.80675115311396,0.0050961933200460155,30003,Plains,0.1457145308904947,10232548.271887999,766.8851286733117
22,Big Horn,2015,12434953.740683997,2031560.4433439989,934.3266767363436,152.6456114917724,0.0056387124837463335,30003,Plains,0.1633749900248725,10403393.297339998,781.6810652445713
22,Big Horn,2016,12569165.210694885,2029568.7341459987,934.6494059112794,150.91974525178455,0.005491569418570857,30003,Plains,0.16147203892419792,10539596.476548886,783.7296606594948
22,Big Horn,2017,13617037.332871996,2380231.8108219993,1012.8709709068727,177.04788833844088,0.006293612898063975,30003,Plains,0.17479806749710805,11236805.522049997,835.8230825684318
22,Big Horn,2018,14010673.671039972,2505367.8581399997,1050.4328738221602,187.83684646423748,0.006152006802162831,30003,Plains,0.17881851486688957,11505305.812899973,862.5960273579227
24,Blaine,2002,4918541.0864600055,979740.6986970003,726.6274318894971,144.73935569463737,0.009071001210067776,30005,Plains,0.19919335458924542,3938800.387763005,581.8880761948597
24,Blaine,2003,5460605.497433999,1076980.232474,815.1374081854005,160.76731340110464,0.009020841562585855,30005,Plains,0.19722725492256954,4383625.264959998,654.3700947842959
24,Blaine,2004,5224151.347413999,1111682.390977,795.0314027414395,169.1800929808248,0.008250329446780561,30005,Plains,0.21279674286758413,4112468.956436999,625.8513097606146
24,Blaine,2005,5430361.173947997,1153700.3837229998,823.7805178925967,175.01522811331915,0.008088707109415203,30005,Plains,0.21245371104556443,4276660.790224997,648.7652897792775
24,Blaine,2006,5476377.594669,1182089.165693,837.8790689518054,180.8581954854651,0.00885678981091206,30005,Plains,0.21585238513204585,4294288.428976,657.0208734663403
24,Blaine,2007,6085161.709889,1212543.1795509998,940.2289415774104,187.35216000478982,0.008010300248729956,30005,Plains,0.19926227721779277,4872618.5303380005,752.8767815726205
24,Blaine,2008,5759920.485803,1304970.667145,899.8469748169035,203.86981208326824,0.008215992061756688,30005,Plains,0.22656053505625295,4454949.818658,695.9771627336353
24,Blaine,2009,6381434.330390002,1212896.4826020002,990.1372118525992,188.19185145104737,0.0073324012344755055,30005,Plains,0.19006643644766208,5168537.847788001,801.9453604015519
