longitude,latitude,city,county,class,type,fips
"-111.105749678727","44.662744527688",West Yellowstone,"6",TN,Town,"3079525"
"-112.591823732876","44.6383236960965",Lima,"18",TN,Town,"3043525"
"-105.408235309974","45.4431181707075",Broadus,"9",TN,Town,"3009700"
"-106.628112065013","45.8943527908319",Colstrip,"29",3rd,City,"3016525"
"-104.550611663156","45.8896866660196",Ekalaka,"42",TN,Town,"3023650"
"-112.539539812298","46.0365761064029",Walkerville,"1",TN,Town,"3077650"
"-114.179131259022","46.0235339648628",Darby,"13",TN,Town,"3019300"
"-112.54761346241","46.0279130234938",Butte-Silver Bow,"1",1st,County/Consolidated,"3011397"
"-108.938806080974","46.2950169805818",Lavina,"53",TN,Town,"3042850"
"-109.253742763704","46.2984349292641",Ryegate,"53",TN,Town,"3064975"
"-106.674871731158","46.2669060649783",Forsyth,"29",3rd,City,"3027700"
"-107.231643680937","46.2910076660744",Hysham,"33",TN,Town,"3038350"
"-112.860765044466","46.1331686003426",Anaconda-Deer Lodge,"30",1st,County/Consolidated,"3001675"
"-114.15975664889","46.2527498048465",Hamilton,"13",3rd,City,"3033775"
"-113.296001703959","46.3324299693156",Philipsburg,"46",TN,Town,"3057175"
"-114.223141771903","46.33382934758",Pinesdale,"13",TN,Town,"3057700"
"-112.733683320169","46.3972491302543",Deer Lodge,"28",3rd,City,"3019825"
"-108.540148713089","46.4484568428953",Roundup,"23",3rd,City,"3064525"
"-105.838520545741","46.4058401749689",Miles City,"14",2nd,City,"3049525"
"-104.274581826799","46.3640024246329",Baker,"39",3rd,City,"3003475"
"-104.518458048429","46.4183134874077",Plevna,"39",TN,Town,"3058450"
"-104.793016838437","46.5002349363125",Ismay,"14",TN,Town,"3038950"
"-114.078695822835","46.5110719886981",Stevensville,"13",TN,Town,"3071200"
"-107.868254931284","46.5986953413684",Melstone,"23",TN,Town,"3049000"
"-109.753286816246","46.6790281742365",Judith Gap,"44",TN,Town,"3040000"
"-113.147085455901","46.6664797370232",Drummond,"46",TN,Town,"3021850"
"-105.312523259028","46.7921433872341",Terry,"45",TN,Town,"3073675"
"-110.738576316104","46.9374147099918",Neihart,"2",TN,Town,"3053200"
"-109.695091064925","46.9749230840582",Moore,"8",TN,Town,"3051550"
"-109.873326749692","46.999455149398",Hobson,"36",TN,Town,"3036700"
"-108.346658644322","47.0042489851467",Winnett,"55",TN,Town,"3081100"
"-108.803081520026","47.0260674502768",Grass Range,"8",TN,Town,"3032575"
"-114.021371422187","46.8749813761411",Missoula,"4",1st,City,"3050200"
"-109.452413242508","47.0513612348642",Lewistown,"8",2nd,City,"3043375"
"-114.481673030445","47.0039401932249",Alberton,"54",TN,Town,"3000700"
"-104.190056032001","46.9865628638148",Wibaux,"52",TN,Town,"3080350"
"-110.218953568364","47.1520836176517",Stanford,"36",TN,Town,"3070675"
"-104.706961377106","47.1101260492001",Glendive,"16",3rd,City,"3031450"
"-111.702645140327","47.2772123746044",Cascade,"2",TN,Town,"3012775"
"-114.891956732782","47.1934931529835",Superior,"54",TN,Town,"3072625"
"-109.948239995314","47.3221399254328",Denton,"8",TN,Town,"3020425"
"-106.909864371993","47.3210582764382",Jordan,"50",TN,Town,"3039925"
"-110.926709628488","47.3873762655004",Belt,"2",TN,Town,"3005275"
"-114.095502564672","47.3186688033824",St. Ignatius,"15",TN,Town,"3065275"
"-105.587025810974","47.4176745599382",Circle,"41",TN,Town,"3014950"
"-111.29954358041","47.5021860125444",Great Falls,"2",1st,City,"3032800"
"-109.377279839773","47.5620911145348",Winifred,"8",TN,Town,"3081025"
"-114.884186721472","47.4601592448773",Plains,"35",TN,Town,"3058150"
"-110.266685692003","47.602298364708",Geraldine,"19",TN,Town,"3030400"
"-114.100276915481","47.52790262892",Ronan,"15",3rd,City,"3064150"
"-111.981336400821","47.615305531289",Fairfield,"31",TN,Town,"3025225"
"-114.670637815248","47.6093596617625",Hot Springs,"35",TN,Town,"3037825"
"-105.069592640486","47.6439071436844",Richey,"16",TN,Town,"3062275"
"-115.342559796741","47.5993243885315",Thompson Falls,"35",3rd,City,"3073825"
"-114.141251505844","47.6886531679788",Polson,"15",3rd,City,"3058750"
"-110.664449717387","47.8225387231444",Fort Benton,"19",3rd,City,"3028000"
"-104.168061806182","47.7151777794818",Sidney,"27",3rd,City,"3067900"
"-112.179334166","47.8136918182874",Choteau,"31",3rd,City,"3014650"
"-111.713330790814","47.8474223052354",Dutton,"31",TN,Town,"3022600"
"-104.050880663814","47.8520245590242",Fairview,"27",TN,Town,"3025300"
"-106.455202864626","48.0070489526956",Fort Peck,"20",TN,Town,"3028450"
"-105.641557373402","48.0931982293909",Wolf Point,"17",3rd,City,"3081475"
"-106.357095954104","48.1335695947593",Nashua,"20",TN,Town,"3052900"
"-110.113305892514","48.1785900850015",Big Sandy,"19",TN,Town,"3006250"
"-105.197132456837","48.1104087924239",Poplar,"17",3rd,City,"3058975"
"-111.946695416951","48.173982187866",Conrad,"26",3rd,City,"3017275"
"-106.631742611144","48.1992463666861",Glasgow,"20",3rd,City,"3031075"
"-104.518521609531","48.1447995524421",Culbertson,"17",TN,Town,"3018475"
"-104.21966370682","48.1393764598139",Bainville,"17",TN,Town,"3003400"
"-114.327294278219","48.2153871430137",Kalispell,"7",1st,City,"3040075"
"-112.252134466548","48.3054599944025",Valier,"26",TN,Town,"3076225"
"-104.490731792143","48.3380914952101",Froid,"17",TN,Town,"3029500"
"-114.190212370655","48.3709964275123",Columbia Falls,"7",3rd,City,"3016600"
"-107.341334543041","48.457070367197",Saco,"11",TN,Town,"3065050"
"-115.55588001032","48.3848829439963",Libby,"56",3rd,City,"3043450"
"-110.421315646907","48.5554900204818",Hingham,"12",TN,Town,"3036400"
"-111.861397995647","48.5040249628594",Shelby,"21",3rd,City,"3067450"
"-104.501557906156","48.5022385304996",Medicine Lake,"34",TN,Town,"3048775"
"-115.891561397939","48.4619604481841",Troy,"56",3rd,City,"3075025"
"-112.330375686611","48.634332606359",Cut Bank,"38",3rd,City,"3018775"
"-111.965657640263","48.7457588805168",Kevin,"21",TN,Town,"3040525"
"-105.420686448711","48.7903906713809",Scobey,"37",3rd,City,"3066925"
"-105.173618311572","48.8045914426651",Flaxville,"37",TN,Town,"3026800"
"-104.557166735136","48.7760252476286",Plentywood,"34",3rd,City,"3058375"
"-106.408384193959","48.8570002664516",Opheim,"20",TN,Town,"3055525"
"-111.906479560796","48.8777386197709",Sunburst,"21",TN,Town,"3072175"
"-104.78508038803","48.8890030960507",Outlook,"34",TN,Town,"3056050"
"-104.055075959202","48.8710565213976",Westby,"34",TN,Town,"3078925"
"-115.049310667377","48.8793062500158",Eureka,"56",TN,Town,"3024850"
"-115.171114789917","48.8998005138369",Rexford,"56",TN,Town,"3062200"
"-110.966190588684","48.5112694854861",Chester,"48",TN,Town,"3014200"
"-108.878755288305","46.0988692437198",Broadview,"3",TN,Town,"3009775"
"-109.157407262356","45.1605492971996",Bearcreek,"10",TN,Town,"3004300"
"-108.552507536249","45.7892490647227",Billings,"3",1st,City,"3006550"
"-108.916538793278","45.2947438625119",Bridger,"10",TN,Town,"3009475"
"-109.23179814142","48.5901120124947",Chinook,"24",3rd,City,"3014575"
"-109.249200499551","45.6359127732943",Columbus,"32",TN,Town,"3016825"
"-108.247250341135","48.3953211498336",Dodson,"11",TN,Town,"3021025"
"-108.906376275428","45.3916310289244",Fromberg,"10",TN,Town,"3029575"
"-108.784611268635","48.5318914712218",Harlem,"24",3rd,City,"3034375"
